Rank,story_id,structure,temperature,genre,seed,equal_score,dimension_score,pca_score,distinct_avg,avg_semantic_continuity,pseudo_ppl,tp_completion_rate,is_baseline,Config
27,romantic_linear_T0.3_s1,linear,0.3,romantic,1,0.6437229111781588,0.6697917680427911,0.0650844863349389,0.6139569030969032,0.4086,1.9272096581743696,1.0,0,lin_T0.3
28,romantic_nonlinear_T0.7_s2,nonlinear,0.7,romantic,2,0.6250008983974806,0.6641164824602157,0.1069845317552111,0.6378182442557443,0.4386,2.211808195409589,1.0,0,non_T0.7
29,horror_nonlinear_T0.7_s3,nonlinear,0.7,horror,3,0.6228096296832276,0.679032394013358,0.16051367836508065,0.6129849674135389,0.4351,2.4094205744672843,1.0,0,non_T0.7
30,horror_linear_T0.3_s2,linear,0.3,horror,2,0.6212418761352849,0.674235324506292,0.11743913959458994,0.6241318681318683,0.44,2.2756293108098,1.0,0,lin_T0.3
31,sciencefiction_linear_T0.9_s1,linear,0.9,sciencefiction,1,0.6180322402363434,0.5380531648346825,1.0,0.6864564435564435,0.296,3.1093842329184818,1.0,0,lin_T0.9
32,sciencefiction_linear_T0.3_s2,linear,0.3,sciencefiction,2,0.6173412707308005,0.5930960261990971,0.6211965124601023,0.6626661338661339,0.3578,2.7244728907924203,1.0,0,lin_T0.3
33,horror_nonlinear_T0.7_s1,nonlinear,0.7,horror,1,0.614580665133758,0.6593657815980056,0.1393717862369859,0.6245953661722892,0.4289,2.2452703111043673,1.0,0,non_T0.7
34,horror_linear_T0.3_s1,linear,0.3,horror,1,0.6118409901072954,0.6436845872723936,0.05687237082370794,0.6097109002109002,0.4109,2.0348660062491097,1.0,0,lin_T0.3
35,romantic_linear_T0.3_s3,linear,0.3,romantic,3,0.6115462948484627,0.6501522616918314,0.030458648908035135,0.6181164549735978,0.4248,2.0541718873387356,1.0,0,lin_T0.3
36,romantic_nonlinear_T0.9_s1,nonlinear,0.9,romantic,1,0.610525013759131,0.6600754859335198,0.05153151326896527,0.6031665001665001,0.4237,2.0884557623682465,1.0,0,non_T0.9
37,romantic_linear_T0.9_s1,linear,0.9,romantic,1,0.6029582378771107,0.6383723563274062,0.11928188539988267,0.6278376623376624,0.4232,2.211984200817494,1.0,0,lin_T0.9
38,romantic_linear_T0.7_s3,linear,0.7,romantic,3,0.602183136163874,0.6266248041854587,0.0036555598260419393,0.6292159840159841,0.4289,2.1742286607955355,1.0,0,lin_T0.7
39,horror_nonlinear_T0.9_s3,nonlinear,0.9,horror,3,0.5977617946046081,0.6593458615907579,0.06552246074045832,0.6172654845154845,0.436,2.116006355805206,1.0,0,non_T0.9
40,horror_nonlinear_T0.3_s2,nonlinear,0.3,horror,2,0.5971918433199975,0.618313385683623,0.049652306826424276,0.6323229847076002,0.4186,2.1207308543665087,1.0,0,non_T0.3
41,sciencefiction_nonlinear_T0.7_s3,nonlinear,0.7,sciencefiction,3,0.5934336778413265,0.5822602402243082,0.6160715536159769,0.6647125097125097,0.3714,2.900782123089293,1.0,0,non_T0.7
42,romantic_nonlinear_T0.3_s3,nonlinear,0.3,romantic,3,0.5899989870223193,0.6420503346725452,0.04670944305604914,0.6150223318348318,0.43,2.1380470948869497,1.0,0,non_T0.3
43,sciencefiction_linear_T0.7_s3,linear,0.7,sciencefiction,3,0.5874050118280882,0.5784895926670106,0.720595357903758,0.6821974900099901,0.378,2.8527149767266904,1.0,0,lin_T0.7
44,horror_linear_T0.9_s3,linear,0.9,horror,3,0.5839722670122891,0.6272982146549027,0.0,0.6167943979097826,0.4252,2.0242798851781707,1.0,0,lin_T0.9
45,romantic_linear_T0.7_s2,linear,0.7,romantic,2,0.5831281459617733,0.6240676005519734,0.10132105604452661,0.610812581358036,0.4201,2.3411144402544335,1.0,0,lin_T0.7
46,sciencefiction_nonlinear_T0.9_s1,nonlinear,0.9,sciencefiction,1,0.5787145571526183,0.5817157884960357,0.5161239462492665,0.6421550949050949,0.3715,2.623734094690963,1.0,0,non_T0.9
47,sciencefiction_nonlinear_T0.9_s2,nonlinear,0.9,sciencefiction,2,0.5653407821902376,0.5531299144934931,0.4841130222721313,0.6563775866990152,0.3705,2.6999703977423084,1.0,0,non_T0.9
48,sciencefiction_nonlinear_T0.7_s1,nonlinear,0.7,sciencefiction,1,0.5607575478834794,0.5425006710415499,0.4315069470115217,0.6428270063270063,0.3465,2.1932124682356693,1.0,0,non_T0.7
49,horror_linear_T0.7_s1,linear,0.7,horror,1,0.5517664077534473,0.6036011475330715,0.10628239705572175,0.6200582584082583,0.4297,2.380714341230337,1.0,0,lin_T0.7
50,sciencefiction_nonlinear_T0.9_s3,nonlinear,0.9,sciencefiction,3,0.5364371113862753,0.5111650973263677,0.5616073210824157,0.6508979353979354,0.3413,2.660314243520548,1.0,0,non_T0.9
51,romantic_linear_T0.7_s1,linear,0.7,romantic,1,0.5339347159190674,0.5622969303791772,0.0903384502364638,0.6236970075379167,0.4162,2.4790591604833243,1.0,0,lin_T0.7
52,sciencefiction_linear_T0.9_s2,linear,0.9,sciencefiction,2,0.5115525661469235,0.4806230043366182,0.7057235212214541,0.6595188739831598,0.3359,2.9910890462531725,1.0,0,lin_T0.9
53,sciencefiction_linear_T0.3_s3,linear,0.3,sciencefiction,3,0.5037239937575377,0.4625584490080494,0.6507233149776003,0.6892546203796204,0.3349,2.322077608915349,1.0,0,lin_T0.3
54,sciencefiction_nonlinear_T0.3_s2,nonlinear,0.3,sciencefiction,2,0.471914059043185,0.46957189927203563,0.5757069002381492,0.6581517328825021,0.3576,2.8747416972969475,1.0,0,non_T0.3
