Rank,story_id,structure,temperature,genre,seed,equal_score,dimension_score,pca_score,distinct_avg,avg_semantic_continuity,pseudo_ppl,tp_completion_rate,Config
34,horror_linear_T0.3_s2,linear,0.3,horror,2,0.6773963201887343,0.7149171770043354,0.9507348512609314,0.6241318681318683,0.44,2.2756293108098,1.0,lin_T0.3
35,horror_linear_T0.3_s1,linear,0.3,horror,1,0.6756592795027798,0.6948153296521938,0.936679082315296,0.6097109002109002,0.4109,2.0348660062491097,1.0,lin_T0.3
36,romantic_nonlinear_T0.9_s1,nonlinear,0.9,romantic,1,0.6752028883445548,0.7099818930694853,0.9642619949632996,0.6031665001665001,0.4237,2.0884557623682465,1.0,non_T0.9
37,horror_nonlinear_T0.7_s1,nonlinear,0.7,horror,1,0.6729464792463891,0.705069823618337,0.9372339889625688,0.6245953661722892,0.4289,2.2452703111043673,1.0,non_T0.7
38,sciencefiction_nonlinear_T0.9_s1,nonlinear,0.9,sciencefiction,1,0.6696528372800491,0.6770041572710891,0.8610481055191267,0.6421550949050949,0.3715,2.623734094690963,1.0,non_T0.9
39,romantic_linear_T0.9_s1,linear,0.9,romantic,1,0.6681214017620591,0.6895211337039726,0.9101978147360188,0.6278376623376624,0.4232,2.211984200817494,1.0,lin_T0.9
40,romantic_linear_T0.3_s3,linear,0.3,romantic,3,0.6669943422784489,0.6907128620638825,0.9312908897279091,0.6181164549735978,0.4248,2.0541718873387356,1.0,lin_T0.3
41,horror_nonlinear_T0.3_s2,nonlinear,0.3,horror,2,0.6653491275291207,0.6691744037532705,0.8781653327657285,0.6323229847076002,0.4186,2.1207308543665087,1.0,non_T0.3
42,sciencefiction_nonlinear_T0.7_s3,nonlinear,0.7,sciencefiction,3,0.662874486133796,0.659966914845413,0.8464409499057641,0.6647125097125097,0.3714,2.900782123089293,1.0,non_T0.7
43,romantic_linear_T0.7_s2,linear,0.7,romantic,2,0.6596006870453052,0.6832082183169359,0.9335560915782226,0.610812581358036,0.4201,2.3411144402544335,1.0,lin_T0.7
44,sciencefiction_nonlinear_T0.7_s1,nonlinear,0.7,sciencefiction,1,0.6488420480903846,0.6405735383495061,0.809721346483409,0.6428270063270063,0.3465,2.1932124682356693,1.0,non_T0.7
45,sciencefiction_nonlinear_T0.9_s2,nonlinear,0.9,sciencefiction,2,0.6483831356035592,0.6384082596870819,0.8216869583227443,0.6563775866990152,0.3705,2.6999703977423084,1.0,non_T0.9
46,sciencefiction_linear_T0.3_s3,linear,0.3,sciencefiction,3,0.6456216419620386,0.615550879548333,0.6508779736250794,0.6892546203796204,0.3349,2.322077608915349,1.0,lin_T0.3
47,romantic_nonlinear_T0.3_s3,nonlinear,0.3,romantic,3,0.6403215704735982,0.6789749003020541,0.9428297531566117,0.6150223318348318,0.43,2.1380470948869497,1.0,non_T0.3
48,horror_linear_T0.9_s3,linear,0.9,horror,3,0.6389879972084896,0.6674175226232295,0.9188259424599106,0.6167943979097826,0.4252,2.0242798851781707,1.0,lin_T0.9
49,sciencefiction_linear_T0.9_s2,linear,0.9,sciencefiction,2,0.6352561455313632,0.6130031020422081,0.765683475265044,0.6595188739831598,0.3359,2.9910890462531725,1.0,lin_T0.9
50,horror_nonlinear_T0.9_s3,nonlinear,0.9,horror,3,0.6323271112572861,0.6843921001104344,0.9601259365078834,0.6172654845154845,0.436,2.116006355805206,1.0,non_T0.9
51,sciencefiction_nonlinear_T0.9_s3,nonlinear,0.9,sciencefiction,3,0.6287516507156345,0.6140362425305848,0.799322192700777,0.6508979353979354,0.3413,2.660314243520548,1.0,non_T0.9
52,romantic_linear_T0.7_s1,linear,0.7,romantic,1,0.623236945053585,0.6301562442715254,0.8684351499845423,0.6236970075379167,0.4162,2.4790591604833243,1.0,lin_T0.7
53,horror_linear_T0.7_s1,linear,0.7,horror,1,0.6230675082114665,0.6582334175684875,0.9114567151314031,0.6200582584082583,0.4297,2.380714341230337,1.0,lin_T0.7
54,sciencefiction_nonlinear_T0.3_s2,nonlinear,0.3,sciencefiction,2,0.557825862087906,0.5656450515199991,0.7804648779369305,0.6581517328825021,0.3576,2.8747416972969475,1.0,non_T0.3
55,simple_baseline_s2_Tbaseline_sbaseline,baseline,0.7,baseline,2,0.49879530788742493,0.4645312636613766,0.2048169998043898,0.6567763902763903,0.2811895630962356,1.793993715077782,1.0,bas_T0.7
56,simple_baseline_s3_Tbaseline_sbaseline,baseline,0.7,baseline,3,0.48954718999444974,0.4442075824902869,0.3890298540917483,0.7069578421578422,0.2606539082874481,3.8519177203444985,1.0,bas_T0.7
57,simple_baseline_s1_Tbaseline_sbaseline,baseline,0.7,baseline,1,0.3700331722402486,0.32377902571021755,0.0,0.6598736263736263,0.2340369023681294,2.321079077069624,1.0,bas_T0.7
